Year,CAR,NEA,NEF,NPL,NWP,Total
2002,14.22272792,5.726324124,5.531046764,6.677910225,5.962085087,5.826912849
2002,16.00056891,5.655628765,5.261040043,6.938088545,5.962085087,5.704989651
2002,14.22272792,5.514238045,4.958305235,6.533366713,5.606729022,5.384941256
2002,10.66704594,6.009105562,5.375588349,6.99590595,6.120021116,5.816752583
2002,16.00056891,6.079800922,5.563774851,6.822453736,6.080537109,5.918355248
2002,14.22272792,6.150496281,5.91560179,7.718623506,6.593829202,6.360326842
2003,10.52834758,6.889335739,5.971904035,7.508934188,6.61438645,6.403518889
2003,17.54724596,5.956404858,5.201864283,6.555877156,5.498706808,5.568055804
2003,15.79252136,6.602280083,5.734338579,7.277890059,6.574540748,6.204841692
2003,22.81141975,6.315224427,5.267399581,7.04684593,5.737781017,5.766733001
2003,17.54724596,6.099932685,5.316551054,7.19124851,5.897163823,5.812581585
2003,19.30197056,5.956404858,5.136328985,6.844682317,5.498706808,5.583338665
2003,12.28307217,5.884640944,5.136328985,6.844682317,5.777626718,5.59352724
2003,19.30197056,6.028168772,5.078985599,7.075726446,5.777626718,5.629187249
2003,15.79252136,5.81287703,4.956106915,6.931323866,5.697935315,5.491641497
2003,19.30197056,6.099932685,5.513156948,7.56669522,6.176083733,6.041824505
2003,28.07559354,5.884640944,5.357510615,7.739978317,6.176083733,5.985787347
2003,19.30197056,7.104627481,6.045631245,7.942141929,7.132380569,6.632761809
2004,17.41705129,7.136916648,6.208304103,7.43455431,6.534029869,6.564970207
2004,19.15875642,5.826054407,5.552208557,6.598887353,5.932738777,5.845171763
2004,12.19193591,6.408659847,5.642421695,7.00231278,6.012910922,6.003425322
2004,17.41705129,5.826054407,5.338977505,6.800600067,5.852566631,5.732862786
2004,12.19193591,5.680403046,5.076539286,6.800600067,5.451705903,5.492929971
2004,10.45023078,5.389100326,4.994527343,6.368358537,5.612050194,5.36020118
2004,13.93364103,5.826054407,4.904314205,6.656519557,5.852566631,5.426565576
2004,13.93364103,5.170623286,4.814101068,6.541255149,5.491791976,5.25810211
2004,12.19193591,5.316274646,4.830503457,6.742967863,5.69222234,5.334676413
2004,13.93364103,5.826054407,5.371782282,7.088761086,6.052996995,5.819646996
2004,10.45023078,5.680403046,5.183154812,6.742967863,5.852566631,5.595029041
2004,13.93364103,6.117357127,5.708031249,7.2904738,6.213341286,6.105524392
2005,13.95210938,7.577496618,6.321288662,8.30515309,7.518150101,6.936844482
2005,10.46408204,6.834604793,5.548595379,7.130976274,6.151213719,6.010908751
2005,10.46408204,7.35462907,5.885621173,7.531914699,6.553253831,6.379236776
2005,10.46408204,6.388869698,5.343091847,7.388722404,6.111009708,5.893248409
2005,13.95210938,6.46315888,5.277330716,7.388722404,6.352233775,5.898364076
2005,6.976054692,6.017423785,4.997845912,6.586845554,5.749173607,5.453301045
2005,12.20809571,6.017423785,4.973185488,7.245530109,5.909989651,5.591424055
2005,8.720068365,6.091712967,4.981405629,6.930507061,5.829581629,5.524920384
2005,8.720068365,5.943134602,4.710140966,6.815953225,5.990397674,5.345872038
2005,17.44013673,6.091712967,5.195129303,7.331445486,6.352233775,5.821629071
2005,10.46408204,6.388869698,5.121148032,7.245530109,6.151213719,5.734662731
2005,15.69612306,6.686026428,5.458173825,7.904214665,6.714069876,6.169494428
2006,15.8208378,6.605421001,5.40411163,7.509056205,6.405450515,6.023873714
2006,12.30509607,5.922101587,4.97508292,6.715646493,5.922020287,5.495823507
2006,12.30509607,6.377647863,5.527869911,7.367375899,6.606879776,6.075140724
2006,14.06296693,6.149874725,5.098841202,6.800654676,5.922020287,5.60861093
2006,10.5472252,6.149874725,5.272102796,6.715646493,5.962306139,5.695764848
2006,12.30509607,5.694328449,4.859575191,6.347277698,5.640019321,5.306135569
2006,14.06296693,5.998025966,4.884326847,6.40394982,5.841448583,5.383036085
2006,14.06296693,5.922101587,5.016335681,6.347277698,5.680305173,5.429176394
2006,12.30509607,5.846177208,4.851324639,6.630638309,5.599733469,5.357402579
2006,12.30509607,6.073950345,5.354608317,7.225695594,6.204021253,5.870072683
2006,8.789354334,6.073950345,5.173096171,7.254031655,5.922020287,5.716271652
2006,8.789354334,6.605421001,5.610375432,7.254031655,6.566593924,6.10590093
2007,10.51506283,6.886865818,5.671473434,8.026878576,6.278469438,6.276353816
2007,12.2675733,6.345202215,5.26518367,7.103927381,5.835756849,5.767876707
2007,17.52510471,6.809485304,5.505640877,7.55141887,6.278469438,6.101725314
2007,10.51506283,5.726158096,5.057892975,6.908149855,5.715017052,5.54188688
2007,12.2675733,6.035680155,4.966685069,6.824245201,5.835756849,5.511070086
2007,12.2675733,5.726158096,4.668186467,6.432690148,5.513784058,5.192629876
2007,12.2675733,5.803538611,4.742811117,6.936118073,5.79551025,5.372394511
2007,10.51506283,5.494016552,4.593561816,6.880181637,5.554030657,5.213174406
2007,14.02008377,5.494016552,4.585270188,6.908149855,5.634523855,5.233718935
2007,10.51506283,5.648777581,4.933518557,7.075959163,5.79551025,5.500797821
2007,10.51506283,5.958299641,4.974976696,7.020022727,5.755263651,5.531614616
2007,17.52510471,6.499963244,5.480765994,7.915005704,6.358962636,6.142814374
2008,19.32774586,6.502898099,5.252747037,7.374103749,6.295125929,5.904176298
2008,15.81361025,5.95446091,4.936416787,7.153156821,5.693680776,5.544478873
2008,12.29947464,6.816290778,5.335991839,7.51219558,6.174836898,5.965838713
2008,14.05654244,6.581246269,5.102906392,7.236011919,5.894162494,5.724327585
2008,15.81361025,6.267853589,4.886469906,7.01506499,5.533295402,5.487954992
2008,14.05654244,5.7194164,4.495219334,6.352224204,5.252620998,5.046041013
2008,19.32774586,5.64106823,4.620086538,6.683644597,5.332813685,5.205335587
2008,19.32774586,5.406023721,4.561815176,6.628407865,5.453102715,5.159088775
2008,19.32774586,5.406023721,4.511868295,6.794118061,5.252620998,5.133396102
2008,12.29947464,6.189505419,5.003012629,7.125538455,5.533295402,5.565033012
2008,19.32774586,5.87611274,4.903118866,7.291248651,5.613488089,5.544478873
2008,14.05654244,6.502898099,5.277720478,7.51219558,6.014451524,5.893899229
2009,14.08351525,6.795480531,5.425543308,7.516538427,6.060183201,6.01556368
2009,15.84395465,6.005308377,4.691008214,6.263782023,5.382399553,5.194326317
2009,17.60439406,6.479411669,5.150092647,7.108030904,5.781095817,5.72299787
2009,15.84395465,6.084325592,4.757784131,6.781224885,5.302660301,5.327777389
2009,15.84395465,6.242360023,4.7828251,6.944627895,5.42226918,5.399635658
2009,12.32307584,5.610222299,4.540762399,6.345483527,4.943833664,5.024946111
2009,15.84395465,5.610222299,4.473986481,6.427185032,5.502008432,5.08140618
2009,12.32307584,5.689239515,4.50737444,6.454418867,5.462138806,5.096804381
2009,14.08351525,5.847273946,4.382169595,6.481652702,5.063442543,4.989016977
2009,22.88571227,6.321377238,4.949764895,7.216966243,5.621617311,5.604944999
2009,17.60439406,6.321377238,4.857948008,7.080797069,5.581747685,5.502290328
2009,17.60439406,6.400394454,5.108357699,7.244200078,5.541878059,5.687068735
2010,14.03459528,5.804961254,5.099544613,6.917595228,5.550522641,5.574055477
2010,14.03459528,5.248321134,4.540347413,5.998852112,4.916177196,4.938777095
2010,14.03459528,5.804961254,4.999389891,6.728442233,5.550522641,5.476714434
2010,12.28027087,5.725441237,4.68223327,6.620354808,5.312643099,5.220553797
2010,10.52594646,5.804961254,4.657194589,6.377158101,5.43158287,5.174444882
2010,14.03459528,5.089281099,4.298306834,6.269070675,5.154056738,4.861928904
2010,17.5432441,5.248321134,4.665540816,6.45822367,5.074763558,5.13345918
2010,12.28027087,5.168801116,4.515308733,6.323114388,5.193703329,5.010502074
2010,14.03459528,5.407361168,4.52365496,6.323114388,4.876530606,4.995132436
2010,10.52594646,5.884481271,4.97435121,6.890573371,5.43158287,5.471591222
2010,12.28027087,5.407361168,4.673887043,6.944617084,5.312643099,5.256416286
2010,10.52594646,5.725441237,5.26646915,7.26887936,5.748755593,5.753367923
2011,10.43441967,6.402648135,5.32456871,7.568239176,5.549028841,5.866052073
2011,13.91255956,5.842416423,4.657956039,6.231094445,4.954490036,5.099581855
2011,15.65162951,6.402648135,5.024593008,6.979895494,5.39048516,5.564573787
2011,13.91255956,6.16254883,4.624625405,6.284580234,5.152669638,5.135350465
2011,17.39069945,5.922449525,4.582962113,6.55200918,4.994125957,5.135350465
2011,20.86883934,5.602317118,4.241323119,6.231094445,4.875218196,4.83898198
2011,12.17348962,5.68235022,4.357980337,6.338066023,4.795946355,4.900299598
2011,20.86883934,5.362217813,4.299651728,6.364808918,4.875218196,4.884970194
2011,17.39069945,5.362217813,4.232990461,6.177608656,4.716674515,4.777664363
2011,19.1297694,5.762383322,4.607960089,6.498523391,5.152669638,5.155789671
2011,10.43441967,5.522284017,4.507968188,6.391551813,5.39048516,5.063813245
2011,19.1297694,5.602317118,4.791278573,6.89966681,5.549028841,5.385730736
2012,10.39807289,6.312886057,4.981155184,7.132312259,5.233867293,5.530319519
2012,13.86409719,5.746345001,4.490523872,6.398103644,4.682933894,4.991520007
2012,15.59710934,6.070082747,4.78989213,6.738986215,4.958400593,5.301583877
2012,12.13108504,5.908213874,4.515471227,6.371881908,4.879695822,5.032184121
2012,13.86409719,5.746345001,4.515471227,6.476768853,4.840343436,5.04235015
2012,12.13108504,5.260738381,4.166208259,6.162108018,4.486171965,4.686539151
2012,17.33012148,5.341672818,4.332523958,6.240773227,4.564876737,4.833946565
2012,15.59710934,5.260738381,4.390734453,6.42432538,4.604229122,4.900025751
2012,12.13108504,5.017935071,4.232734539,6.345660172,4.44681958,4.742452308
2012,15.59710934,5.584476128,4.623576431,6.686542743,4.919048207,5.154176464
2012,13.86409719,5.827279437,4.515471227,6.398103644,4.879695822,5.037267136
2012,13.86409719,5.908213874,5.355365507,7.210977468,5.194514907,5.753972147
2013,13.82552191,6.984118115,5.82169244,7.764255673,5.637764251,6.276303198
2013,10.36914144,6.162457161,4.65071008,6.17553009,4.698136876,5.067571156
2013,15.55371215,6.408955447,4.858331066,6.688022213,4.97219486,5.360903618
2013,20.73828287,5.915958874,4.584271365,6.636773001,4.933043719,5.163662824
2013,13.82552191,5.915958874,4.559356847,6.406151545,4.815590297,5.067571156
2013,15.55371215,5.669460588,4.21885843,5.919284028,4.580683454,4.723664131
2013,13.82552191,5.915958874,4.459698774,6.303653121,4.502381172,4.946192206
2013,15.55371215,5.587294492,4.285297145,6.226779302,4.698136876,4.834928168
2013,12.09733167,5.25863011,4.301906824,6.098656271,4.541532313,4.769181237
2013,15.55371215,5.751626683,4.567661686,6.790520638,4.933043719,5.158605368
2013,15.55371215,5.915958874,4.600881044,6.483025364,4.97219486,5.133318087
2013,15.55371215,6.326789352,5.057647212,7.174889731,5.324555126,5.618833886
2014,12.08459215,6.240628656,5.007465109,7.121860551,5.703249455,5.617370116
2014,17.26370306,5.491753217,4.318212034,6.219089495,4.849701918,4.877447709
2014,18.99007337,5.907795128,4.73342473,6.896167787,5.315273302,5.355628857
2014,17.26370306,5.658169981,4.484297113,6.645398049,4.927297149,5.083820625
2014,15.53733276,5.658169981,4.426167335,6.720628971,5.043689995,5.073753654
2014,17.26370306,5.325336453,4.127214194,6.344474364,4.694511457,4.75664405
2014,15.53733276,5.408544835,4.135518448,6.294320417,4.810904303,4.766711022
2014,15.53733276,5.574961599,4.193648226,6.369551338,4.927297149,4.842213308
2014,15.53733276,5.574961599,4.177039718,6.695551997,4.927297149,4.897581652
2014,13.81096245,5.99100351,4.451080097,6.846013839,5.392868533,5.174423369
2014,17.26370306,5.824586746,4.567339652,6.846013839,5.276475687,5.229791712
2014,17.26370306,6.490253802,5.148637426,7.824015817,5.742047071,5.879111376
2015,15.49240012,6.82666343,5.547973879,8.454164668,6.093123756,6.313580038
2015,15.49240012,6.236704862,4.649651272,6.79308246,4.8205093,5.232831863
2015,12.04964454,6.658103839,4.85759632,7.363304711,5.244714119,5.544489476
2015,8.606888954,5.562466499,4.516566441,6.941836091,5.129021896,5.162457563
2015,15.49240012,5.73102609,4.333574799,7.140174265,5.360406342,5.152404092
2015,13.77102233,5.225347317,3.942638109,6.396406112,4.859073375,4.664810729
2015,12.04964454,5.056787726,4.117311949,6.79308246,4.859073375,4.835719743
2015,18.9351557,5.056787726,4.092358544,6.495575199,4.974765598,4.795505857
2015,18.9351557,5.056787726,4.03413393,6.619536558,4.974765598,4.785452386
2015,13.77102233,5.562466499,4.533202045,6.991420634,5.360406342,5.227805127
2015,20.65653349,5.562466499,4.333574799,6.768290189,5.090457821,5.046842642
2015,12.04964454,5.562466499,4.574791055,7.437681526,5.630354863,5.373580462
2016,13.72377472,6.836712301,4.78699406,7.421588347,6.672266287,5.71747102
2016,13.72377472,5.739462179,4.588569435,7.054182984,5.98597604,5.368236315
2016,18.87019025,6.66790459,4.894474064,7.666525256,6.290993927,5.787317961
2016,15.43924656,6.414693023,4.538963279,6.931714529,6.024103276,5.363247248
2016,13.72377472,6.245885312,4.555498665,6.760258693,5.680958153,5.278433106
2016,15.43924656,5.823866034,4.117310953,6.490828092,5.680958153,4.939176535
2016,18.87019025,5.992673745,4.166917109,6.784752383,5.833467096,5.068892283
2016,15.43924656,6.161481456,4.299200192,6.68677762,5.833467096,5.128761089
2016,10.29283104,5.739462179,4.175184802,6.833739765,5.757212625,5.033968812
